Cell,Threshold,Patches,Cross_Area
20200904_MKY4291_04_Cell04_GFP,yen,14,3094
20200904_MKY4291_04_Cell05_GFP,yen,12,2929
20200904_MKY4291_04_Cell06_GFP,yen,20,2529
20200904_MKY4291_05_Cell01_GFP,yen,24,3584
20200904_MKY4291_05_Cell02_GFP,yen,18,2952
20200904_MKY4291_05_Cell03_GFP,yen,12,2489
20200904_MKY4291_06_Cell01_GFP,yen,18,3067
20200904_MKY4291_06_Cell02_GFP,yen,13,2291
20200904_MKY4291_06_Cell03_GFP,yen,17,2054
20200904_MKY4291_06_Cell04_GFP,yen,12,2097
20200904_MKY4291_06_Cell05_GFP,yen,24,2448
20200904_MKY4291_06_Cell06_GFP,yen,16,1949
20200904_MKY4291_06_Cell07_GFP,yen,17,2412
20200904_MKY4291_07_Cell01_GFP,yen,24,3283
20200904_MKY4291_07_Cell02_GFP,yen,9,2393
20200904_MKY4291_07_Cell03_GFP,yen,28,2700
20200904_MKY4291_07_Cell04_GFP,yen,27,2861
20200904_MKY4291_08_Cell01_GFP,yen,28,3673
20200904_MKY4291_08_Cell02_GFP,yen,28,2594
20200904_MKY4291_08_Cell03_GFP,yen,22,2949
20200904_MKY4291_08_Cell04_GFP,yen,19,2574
20200904_MKY4291_09_Cell01_GFP,yen,29,3504
20200904_MKY4291_09_Cell02_GFP,yen,18,2618
20200904_MKY4291_09_Cell03_GFP,yen,19,2407
20200904_MKY4291_09_Cell04_GFP,yen,18,2330
20200904_MKY4291_09_Cell05_GFP,yen,7,1831
20200904_MKY4291_10_Cell01_GFP,yen,30,3398
20200904_MKY4291_10_Cell02_GFP,yen,10,2606
20200904_MKY4291_10_Cell03_GFP,yen,14,2164
20200904_MKY4291_10_Cell04_GFP,yen,17,3261
20200904_MKY4291_10_Cell05_GFP,yen,27,2995
20200904_MKY4291_11_Cell01_GFP,yen,28,3075
20200904_MKY4291_11_Cell02_GFP,yen,16,2372
20200904_MKY4291_11_Cell03_GFP,yen,21,3152
20200904_MKY4291_11_Cell04_GFP,yen,30,3087
20200904_MKY4291_11_Cell05_GFP,yen,22,3075
20200904_MKY4291_11_Cell06_GFP,yen,16,2425
20200904_MKY4291_12_Cell01_GFP,yen,19,2901
20200904_MKY4291_12_Cell02_GFP,yen,30,3663
20200904_MKY4291_12_Cell03_GFP,yen,18,2562
20200904_MKY4291_12_Cell04_GFP,yen,27,2723
20200904_MKY4291_12_Cell05_GFP,yen,21,3154
20200904_MKY4291_13_Cell01_GFP,yen,22,2457
20200904_MKY4291_13_Cell02_GFP,yen,6,2007
20200904_MKY4291_13_Cell03_GFP,yen,10,2785
20200904_MKY4291_13_Cell04_GFP,yen,28,2892
20200904_MKY4291_13_Cell05_GFP,yen,21,2825
20200904_MKY4291_13_Cell06_GFP,yen,19,2843
