"dataset","date","strain","movie","cell","patches","cross_area","area","density","ede1"
"3","20210527","MKY0140","01","Cell03","27","2195"," 36.5","0.7392","EDE1"
"3","20210527","MKY0140","02","Cell01","38","3962"," 65.9","0.5764","EDE1"
"3","20210527","MKY0140","02","Cell02","34","3220"," 53.6","0.6345","EDE1"
"3","20210527","MKY0140","02","Cell03","21","2212"," 36.8","0.5705","EDE1"
"3","20210527","MKY0140","02","Cell04","33","3209"," 53.4","0.6180","EDE1"
"3","20210527","MKY0140","03","Cell01","28","2518"," 41.9","0.6682","EDE1"
"3","20210527","MKY0140","03","Cell02","29","2955"," 49.2","0.5897","EDE1"
"3","20210527","MKY0140","03","Cell03","29","2954"," 49.2","0.5899","EDE1"
"3","20210527","MKY0140","03","Cell04","21","2661"," 44.3","0.4742","EDE1"
"3","20210527","MKY0140","03","Cell05","25","2726"," 45.4","0.5511","EDE1"
"3","20210527","MKY0140","04","Cell01","27","2979"," 49.6","0.5446","EDE1"
"3","20210527","MKY0140","04","Cell02","37","3066"," 51.0","0.7252","EDE1"
"3","20210527","MKY0140","04","Cell03","28","2570"," 42.8","0.6547","EDE1"
"3","20210527","MKY0140","04","Cell04","38","3372"," 56.1","0.6772","EDE1"
"3","20210527","MKY0140","04","Cell05","17","3193"," 53.1","0.3199","EDE1"
"3","20210527","MKY0140","05","Cell01","33","3411"," 56.8","0.5814","EDE1"
"3","20210527","MKY0140","05","Cell02","29","2983"," 49.6","0.5842","EDE1"
"3","20210527","MKY0140","05","Cell03","29","2587"," 43.1","0.6736","EDE1"
"3","20210527","MKY0140","05","Cell04","34","3867"," 64.4","0.5284","EDE1"
"3","20210527","MKY0140","05","Cell05","42","4162"," 69.3","0.6064","EDE1"
"3","20210527","MKY0140","06","Cell01","29","2577"," 42.9","0.6762","EDE1"
"3","20210527","MKY0140","06","Cell02","36","3126"," 52.0","0.6920","EDE1"
"3","20210527","MKY0140","06","Cell03","20","3855"," 64.2","0.3118","EDE1"
"3","20210527","MKY0140","06","Cell04","33","3547"," 59.0","0.5591","EDE1"
"3","20210527","MKY0140","07","Cell01","22","1984"," 33.0","0.6663","EDE1"
"3","20210527","MKY0140","07","Cell02","25","2572"," 42.8","0.5841","EDE1"
"3","20210527","MKY0140","07","Cell03","22","2554"," 42.5","0.5176","EDE1"
"3","20210527","MKY0140","07","Cell04","34","2771"," 46.1","0.7373","EDE1"
"3","20210527","MKY0140","07","Cell05","19","2357"," 39.2","0.4844","EDE1"
"3","20210527","MKY0140","08","Cell01","33","3533"," 58.8","0.5613","EDE1"
"3","20210527","MKY0140","08","Cell02","30","2704"," 45.0","0.6667","EDE1"
"3","20210527","MKY0140","08","Cell03","29","2878"," 47.9","0.6055","EDE1"
"3","20210527","MKY0140","09","Cell01","33","3132"," 52.1","0.6332","EDE1"
"3","20210527","MKY0140","09","Cell02","12","1900"," 31.6","0.3795","EDE1"
"3","20210527","MKY0140","09","Cell03","31","2589"," 43.1","0.7195","EDE1"
"3","20210527","MKY0140","10","Cell01","23","2604"," 43.3","0.5308","EDE1"
"3","20210527","MKY0140","10","Cell02","33","2769"," 46.1","0.7162","EDE1"
"3","20210527","MKY0140","11","Cell01","26","2721"," 45.3","0.5742","EDE1"
"3","20210527","MKY0140","11","Cell02","29","3157"," 52.5","0.5520","EDE1"
"3","20210527","MKY0140","11","Cell03","32","2743"," 45.6","0.7010","EDE1"
"3","20210527","MKY0140","11","Cell04","32","2983"," 49.6","0.6446","EDE1"
