Cell,Threshold,Patches,Cross_Area
20200909_MKY0140_15_Cell03_GFP,yen,26,2962
20200909_MKY0140_15_Cell04_GFP,yen,33,2603
20200909_MKY0140_15_Cell05_GFP,yen,24,2976
20200909_MKY0140_16_Cell01_GFP,yen,26,3770
20200909_MKY0140_16_Cell02_GFP,yen,23,3281
20200909_MKY0140_16_Cell03_GFP,yen,26,3416
20200909_MKY0140_16_Cell04_GFP,yen,28,2565
20200909_MKY0140_16_Cell05_GFP,yen,28,3340
20200909_MKY0140_16_Cell06_GFP,yen,30,3492
20200909_MKY0140_17_Cell01_GFP,yen,28,3503
20200909_MKY0140_17_Cell02_GFP,yen,33,3277
20200909_MKY0140_17_Cell03_GFP,yen,26,2283
20200909_MKY0140_17_Cell04_GFP,yen,29,3905
20200909_MKY0140_17_Cell05_GFP,yen,42,3414
20200909_MKY0140_18_Cell01_GFP,yen,27,2749
20200909_MKY0140_18_Cell02_GFP,yen,26,2974
20200909_MKY0140_18_Cell03_GFP,yen,42,4365
20200909_MKY0140_18_Cell04_GFP,yen,28,3504
20200909_MKY0140_18_Cell05_GFP,yen,30,3125
20200909_MKY0140_18_Cell06_GFP,yen,16,2709
20200909_MKY0654_01_Cell01_GFP,yen,12,2897
20200909_MKY0654_01_Cell02_GFP,yen,13,3007
20200909_MKY0654_01_Cell03_GFP,yen,19,3619
20200909_MKY0654_01_Cell04_GFP,yen,22,4244
20200909_MKY0654_01_Cell05_GFP,yen,16,3515
20200909_MKY0654_01_Cell06_GFP,yen,22,3264
20200909_MKY0654_02_Cell01_GFP,yen,33,4892
20200909_MKY0654_02_Cell02_GFP,yen,17,2886
20200909_MKY0654_02_Cell03_GFP,yen,12,3469
20200909_MKY0654_02_Cell04_GFP,yen,27,3577
20200909_MKY0654_02_Cell05_GFP,yen,8,3079
20200909_MKY0654_02_Cell06_GFP,yen,15,3643
20200909_MKY0654_02_Cell07_GFP,yen,11,2436
20200909_MKY0654_03_Cell01_GFP,yen,8,3097
20200909_MKY0654_03_Cell02_GFP,yen,6,3838
20200909_MKY0654_03_Cell03_GFP,yen,11,2477
20200909_MKY0654_03_Cell04_GFP,yen,14,3375
20200909_MKY0654_03_Cell05_GFP,yen,27,4196
20200909_MKY0654_04_Cell01_GFP,yen,9,2818
20200909_MKY0654_04_Cell02_GFP,yen,19,2784
20200909_MKY0654_04_Cell03_GFP,yen,14,2917
20200909_MKY0654_05_Cell01_GFP,yen,18,3667
20200909_MKY0654_05_Cell03_GFP,yen,14,3053
20200909_MKY0654_06_Cell01_GFP,yen,13,3597
20200909_MKY0654_06_Cell02_GFP,yen,3,3386
20200909_MKY0654_06_Cell03_GFP,yen,24,4728
20200909_MKY0654_07_Cell01_GFP,yen,18,3726
20200909_MKY0654_07_Cell02_GFP,yen,10,2956
20200909_MKY0654_07_Cell03_GFP,yen,13,2191
20200909_MKY0654_07_Cell04_GFP,yen,17,1938
20200909_MKY0654_07_Cell05_GFP,yen,10,3148
20200909_MKY0654_08_Cell01_GFP,yen,23,3228
20200909_MKY0654_08_Cell02_GFP,yen,15,3622
20200909_MKY0654_08_Cell03_GFP,yen,16,3354
20200909_MKY0654_08_Cell04_GFP,yen,13,3057
20200909_MKY0654_08_Cell05_GFP,yen,22,4596
20200909_MKY0654_09_Cell01_GFP,yen,7,2309
20200909_MKY0654_09_Cell02_GFP,yen,15,2781
20200909_MKY0654_09_Cell03_GFP,yen,15,3252
