dataset,date,strain,movie,cell,patches,cross_area,area,density,ede1
1,20200909,MKY0140,18,Cell02,26,2974,49.5,0.5254,wt
1,20200909,MKY0140,18,Cell03,42,4365,72.6,0.5782,wt
1,20200909,MKY0140,18,Cell04,28,3504,58.3,0.4802,wt
1,20200909,MKY0140,18,Cell05,30,3125,52.0,0.5769,wt
1,20200909,MKY0140,18,Cell06,16,2709,45.1,0.3549,wt
1,20200909,MKY0654,01,Cell01,12,2897,48.2,0.2489,delta
1,20200909,MKY0654,01,Cell02,13,3007,50.0,0.2598,delta
1,20200909,MKY0654,01,Cell03,19,3619,60.2,0.3155,delta
1,20200909,MKY0654,01,Cell04,22,4244,70.6,0.3115,delta
1,20200909,MKY0654,01,Cell05,16,3515,58.5,0.2735,delta
1,20200909,MKY0654,01,Cell06,22,3264,54.3,0.4050,delta
1,20200909,MKY0654,02,Cell01,33,4892,81.4,0.4054,delta
1,20200909,MKY0654,02,Cell02,17,2886,48.0,0.3540,delta
1,20200909,MKY0654,02,Cell03,12,3469,57.7,0.2079,delta
1,20200909,MKY0654,02,Cell04,27,3577,59.5,0.4536,delta
1,20200909,MKY0654,02,Cell05, 8,3079,51.2,0.1561,delta
1,20200909,MKY0654,02,Cell06,15,3643,60.6,0.2474,delta
1,20200909,MKY0654,02,Cell07,11,2436,40.5,0.2714,delta
1,20200909,MKY0654,03,Cell01, 8,3097,51.5,0.1552,delta
1,20200909,MKY0654,03,Cell02, 6,3838,63.9,0.0939,delta
1,20200909,MKY0654,03,Cell03,11,2477,41.2,0.2669,delta
1,20200909,MKY0654,03,Cell04,14,3375,56.2,0.2493,delta
1,20200909,MKY0654,03,Cell05,27,4196,69.8,0.3867,delta
1,20200909,MKY0654,04,Cell01, 9,2818,46.9,0.1919,delta
1,20200909,MKY0654,04,Cell02,19,2784,46.3,0.4101,delta
1,20200909,MKY0654,04,Cell03,14,2917,48.5,0.2884,delta
1,20200909,MKY0654,05,Cell01,18,3667,61.0,0.2950,delta
1,20200909,MKY0654,05,Cell03,14,3053,50.8,0.2756,delta
1,20200909,MKY0654,06,Cell01,13,3597,59.9,0.2172,delta
1,20200909,MKY0654,06,Cell02, 3,3386,56.3,0.0532,delta
1,20200909,MKY0654,06,Cell03,24,4728,78.7,0.3050,delta
1,20200909,MKY0654,07,Cell01,18,3726,62.0,0.2903,delta
1,20200909,MKY0654,07,Cell02,10,2956,49.2,0.2033,delta
1,20200909,MKY0654,07,Cell03,13,2191,36.5,0.3566,delta
1,20200909,MKY0654,07,Cell04,17,1938,32.3,0.5271,delta
1,20200909,MKY0654,07,Cell05,10,3148,52.4,0.1909,delta
1,20200909,MKY0654,08,Cell01,23,3228,53.7,0.4282,delta
1,20200909,MKY0654,08,Cell02,15,3622,60.3,0.2489,delta
1,20200909,MKY0654,08,Cell03,16,3354,55.8,0.2867,delta
1,20200909,MKY0654,08,Cell04,13,3057,50.9,0.2555,delta
1,20200909,MKY0654,08,Cell05,22,4596,76.5,0.2876,delta
1,20200909,MKY0654,09,Cell01, 7,2309,38.4,0.1822,delta
1,20200909,MKY0654,09,Cell02,15,2781,46.3,0.3241,delta
1,20200909,MKY0654,09,Cell03,15,3252,54.1,0.2772,delta
1,20200909,MKY0654,10,Cell01,16,3503,58.3,0.2745,delta
1,20200909,MKY0654,10,Cell02,14,3360,55.9,0.2504,delta
1,20200909,MKY0654,10,Cell03,11,3224,53.7,0.2050,delta
1,20200909,MKY0654,10,Cell04,15,2505,41.7,0.3598,delta
1,20200909,MKY0654,11,Cell01,27,4626,77.0,0.3507,delta
1,20200909,MKY0654,11,Cell02,18,3909,65.0,0.2767,delta
1,20200909,MKY0654,11,Cell03,14,3205,53.3,0.2625,delta
1,20200909,MKY0654,11,Cell04,19,4477,74.5,0.2550,delta
1,20200909,MKY0654,12,Cell01,15,3312,55.1,0.2722,delta
1,20200909,MKY0654,12,Cell02,16,3326,55.3,0.2891,delta
1,20200909,MKY0654,12,Cell03,20,4615,76.8,0.2604,delta
1,20200909,MKY0654,12,Cell04,21,3318,55.2,0.3803,delta
1,20200909,MKY0654,12,Cell05,15,3139,52.2,0.2872,delta
1,20200909,MKY0654,13,Cell01,18,3092,51.5,0.3498,delta
1,20200909,MKY0654,13,Cell02,11,2313,38.5,0.2858,delta
1,20200909,MKY0654,13,Cell03,23,2891,48.1,0.4781,delta
1,20200909,MKY0654,13,Cell04,18,3444,57.3,0.3141,delta
1,20200909,MKY0654,13,Cell05,40,5063,84.3,0.4748,delta
1,20200909,MKY0654,14,Cell01,13,3369,56.1,0.2319,delta
1,20200909,MKY0654,14,Cell02,20,3384,56.3,0.3552,delta
1,20200909,MKY0654,14,Cell03,17,3362,55.9,0.3039,delta
1,20200909,MKY0654,15,Cell01,17,3460,57.6,0.2953,delta
1,20200909,MKY0654,15,Cell02,18,3212,53.5,0.3368,delta
1,20200909,MKY0654,15,Cell03,24,3636,60.5,0.3967,delta
1,20200909,MKY0654,15,Cell04,14,3450,57.4,0.2439,delta
1,20200909,MKY0654,16,Cell01,17,3417,56.9,0.2990,delta
1,20200909,MKY0654,16,Cell02, 5,3430,57.1,0.0876,delta
1,20200909,MKY0654,16,Cell03,24,5345,88.9,0.2698,delta
1,20200909,MKY0654,16,Cell04,21,3537,58.9,0.3568,delta
1,20200909,MKY0654,16,Cell05,22,4676,77.8,0.2827,delta
1,20200909,MKY0654,16,Cell06, 3,1545,25.7,0.1167,delta
1,20200909,MKY0654,17,Cell01,18,2848,47.4,0.3798,delta
1,20200909,MKY0654,17,Cell02,11,3355,55.8,0.1970,delta
1,20200909,MKY0654,17,Cell03,15,3943,65.6,0.2286,delta
1,20200909,MKY0654,18,Cell01,24,3688,61.4,0.3911,delta
1,20200909,MKY0654,18,Cell02,16,2897,48.2,0.3319,delta
1,20200909,MKY0654,18,Cell03,18,4265,71.0,0.2536,delta
2,20210531,MKY0140,01,Cell01,28,2963,49.3,0.5679,wt
