cell,mean,median,sd
20210629_MKY4450_07_Cell09_GFP_BS,6.322,5,4.951
20210629_MKY4450_07_Cell10_GFP_BS,5.211,4,5.799
20210629_MKY4450_07_Cell11_GFP_BS,3.938,3,3.365
20210629_MKY4450_07_Cell12_GFP_BS,4.231,4,3.56
20210629_MKY4450_08_Cell01_GFP_BS,4.791,4,3.999
20210629_MKY4450_08_Cell02_GFP_BS,3.366,3,2.912
20210629_MKY4450_08_Cell03_GFP_BS,5.661,5,4.77
20210629_MKY4450_08_Cell04_GFP_BS,6.095,5,4.859
20210629_MKY4450_08_Cell05_GFP_BS,5.827,5,4.856
20210629_MKY4450_08_Cell06_GFP_BS,4.479,4,4.511
20210629_MKY4450_08_Cell07_GFP_BS,3.145,3,3.165
20210629_MKY4450_08_Cell08_GFP_BS,4.693,4,3.936
20210629_MKY4450_08_Cell09_GFP_BS,3.292,3,2.671
20210629_MKY4450_08_Cell10_GFP_BS,5.325,4,7.199
20210629_MKY4450_08_Cell11_GFP_BS,3.51,3,2.935
20210629_MKY4450_08_Cell12_GFP_BS,6.185,4,9.574
20210629_MKY4450_09_Cell01_GFP_BS,4.258,4,3.58
20210629_MKY4450_09_Cell02_GFP_BS,4.688,4,4.04
20210629_MKY4450_09_Cell03_GFP_BS,5.153,4,6.015
20210629_MKY4450_09_Cell04_GFP_BS,6.068,4,8.73
20210629_MKY4450_09_Cell05_GFP_BS,3.164,3,2.962
20210629_MKY4450_09_Cell06_GFP_BS,3.988,3,3.72
20210629_MKY4450_09_Cell07_GFP_BS,4.192,3,4.756
20210629_MKY4450_09_Cell08_GFP_BS,2.778,2,2.441
20210629_MKY4450_09_Cell09_GFP_BS,4.265,3,4.912
20210629_MKY4450_09_Cell10_GFP_BS,3.489,3,3.178
20210629_MKY4450_09_Cell11_GFP_BS,4.904,4,5.677
20210629_MKY4450_09_Cell12_GFP_BS,5.124,4,4.866
20210629_MKY4450_10_Cell01_GFP_BS,3.422,3,3.538
20210629_MKY4450_10_Cell02_GFP_BS,3.534,3,2.948
20210629_MKY4450_10_Cell03_GFP_BS,3.963,3,3.433
20210629_MKY4450_10_Cell04_GFP_BS,3.452,3,2.982
20210629_MKY4450_10_Cell05_GFP_BS,3.604,3,4.161
20210629_MKY4450_10_Cell06_GFP_BS,5.192,4,4.875
20210629_MKY4450_10_Cell07_GFP_BS,4.407,4,3.569
20210629_MKY4450_10_Cell08_GFP_BS,3.302,3,2.792
20210629_MKY4450_10_Cell09_GFP_BS,5.352,4,4.495
20210629_MKY4450_10_Cell10_GFP_BS,5.264,4,4.538
20210629_MKY4450_10_Cell11_GFP_BS,3.548,3,2.927
20210629_MKY4450_10_Cell12_GFP_BS,3.921,3,3.256
