"strain","stack","window","target","colocalizes","dataset"
"MKY3471","03","x693y115","Syp1","1","2"
"MKY0583","15","x317y271","Abp1","1","2"
"MKY3485","15","x913y525","Las17","1","2"
"MKY3496","06","x907y385","Pan1","1","2"
"MKY3471","13","x341y237","Syp1","1","2"
"MKY3472","11","x838y920","Sla2","1","2"
"MKY3487","14","x1071y329","Rvs167","0","2"
"MKY0583","01","x916y83","Abp1","0","2"
"MKY3483","07","x631y667","End3","1","2"
"MKY3487","14","x121y777","Rvs167","0","2"
"MKY3485","07","x851y871","Las17","1","2"
"MKY3487","09","x269y437","Rvs167","1","2"
"MKY3496","07","x689y965","Pan1","1","2"
"MKY3472","11","x1298y808","Sla2","1","2"
"MKY0583","05","x1129y305","Abp1","1","2"
"MKY0578","15","x1153y253","Sla1","1","2"
"MKY0578","05","x199y219","Sla1","1","2"
"MKY3485","15","x1099y169","Las17","1","2"
"MKY3496","12","x549y207","Pan1","1","2"
"MKY3485","11","x153y299","Las17","1","2"
"MKY3497","05","x661y217","Myo5","1","2"
"MKY0583","15","x983y259","Abp1","0","2"
"MKY3471","03","x1201y787","Syp1","1","2"
"MKY3497","09","x403y655","Myo5","0","2"
"MKY3471","02","x942y603","Syp1","1","2"
"MKY0583","11","x1157y685","Abp1","0","2"
"MKY3487","01","x713y73","Rvs167","1","2"
"MKY0578","15","x293y455","Sla1","1","2"
"MKY3454","09","x763y855","Ent1","1","2"
"MKY3487","12","x1067y542","Rvs167","0","2"
"MKY3454","02","x797y973","Ent1","1","2"
"MKY3497","02","x1185y253","Myo5","1","2"
"MKY3483","10","x235y29","End3","1","2"
"MKY3497","10","x545y877","Myo5","0","2"
"MKY0578","07","x584y251","Sla1","0","2"
"MKY3485","13","x851y467","Las17","1","2"
"MKY0583","14","x143y877","Abp1","0","2"
"MKY3487","04","x1117y129","Rvs167","1","2"
"MKY3471","02","x296y377","Syp1","1","2"
"MKY3487","06","x512y601","Rvs167","0","2"
"MKY3496","11","x505y813","Pan1","1","2"
"MKY3487","14","x921y325","Rvs167","0","2"
"MKY3483","04","x721y963","End3","1","2"
"MKY3487","13","x561y943","Rvs167","0","2"
"MKY3487","05","x867y97","Rvs167","0","2"
"MKY3485","12","x973y309","Las17","1","2"
"MKY3487","14","x1085y441","Rvs167","0","2"
"MKY3487","09","x437y547","Rvs167","0","2"
"MKY3487","01","x59y980","Rvs167","0","2"
"MKY3497","12","x683y514","Myo5","0","2"
"MKY3496","03","x487y982","Pan1","1","2"
"MKY3485","09","x465y475","Las17","1","2"
"MKY3497","15","x1031y103","Myo5","1","2"
"MKY3471","10","x755y224","Syp1","1","2"
"MKY3483","12","x885y635","End3","1","2"
"MKY0583","04","x443y205","Abp1","0","2"
"MKY3497","14","x509y519","Myo5","1","2"
"MKY3497","04","x701y103","Myo5","1","2"
"MKY3472","09","x187y113","Sla2","1","2"
"MKY3497","03","x1011y629","Myo5","1","2"
"MKY3471","04","x283y255","Syp1","1","2"
"MKY3454","09","x1091y333","Ent1","1","2"
"MKY3485","12","x867y0","Las17","1","2"
"MKY3496","09","x587y453","Pan1","1","2"
"MKY3483","09","x996y380","End3","1","2"
"MKY3483","01","x163y22","End3","1","2"
"MKY3483","06","x185y445","End3","1","2"
"MKY0583","03","x189y561","Abp1","1","2"
"MKY0583","12","x355y779","Abp1","0","2"
"MKY3487","10","x621y630","Rvs167","0","2"
"MKY3471","13","x831y129","Syp1","1","2"
"MKY3485","05","x331y527","Las17","1","2"
"MKY3471","10","x545y750","Syp1","1","2"
"MKY3485","04","x509y934","Las17","1","2"
"MKY3454","08","x1173y655","Ent1","1","2"
"MKY3483","15","x697y143","End3","1","2"
"MKY3454","01","x583y749","Ent1","1","2"
"MKY3496","08","x345y671","Pan1","1","2"
"MKY3454","14","x119y841","Ent1","1","2"
"MKY3497","03","x195y353","Myo5","0","2"
"MKY0583","09","x891y451","Abp1","0","2"
"MKY0583","02","x1253y387","Abp1","0","2"
"MKY0583","08","x199y563","Abp1","0","2"
"MKY3487","09","x29y789","Rvs167","1","2"
"MKY3454","12","x815y613","Ent1","1","2"
"MKY3471","06","x341y795","Syp1","1","2"
"MKY3472","12","x207y773","Sla2","1","2"
"MKY3483","01","x297y464","End3","1","2"
"MKY3483","13","x641y897","End3","1","2"
